Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,WHH,WHD,WHA,B365H,B365D,B365A,SBH,SBD,SBA,IWH,IWD,IWA,GBH,GBD,GBA,LBH,LBD,LBA
Belgium,JupilerLeague,2003-2004,B1,2003-08-08,Club Brugge,Genk,,,,1.4,3.75,7.0,1.44,3.75,6.5,1.45,3.8,5.4,1.4,3.8,6.85,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Anderlecht,Antwerp,1.22,5.0,9.5,1.167,6.0,10.0,1.2,5.5,10.0,1.3,4.2,8.0,1.2,5.5,9.25,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Charleroi,Lierse,2.5,3.4,2.3,2.5,3.5,2.25,2.62,3.4,2.25,2.9,3.2,2.1,2.5,3.35,2.35,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Germinal,Bergen,1.9,3.5,3.2,1.909,3.5,3.2,1.9,3.4,3.4,1.9,3.4,3.2,1.85,3.35,3.5,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Lokeren,St Truiden,1.66,3.6,4.0,1.7269999999999999,3.6,3.75,1.72,3.5,4.0,1.9,3.4,3.2,1.8,3.4,3.65,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Westerlo,Louvieroise,1.72,3.5,3.8,1.8,3.5,3.5,1.8,3.5,3.6,1.85,3.3,3.4,1.85,3.45,3.5,,,
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Beveren,Gent,2.3,3.4,2.5,2.25,3.5,2.5,2.25,3.5,2.6,2.3,3.4,2.3,2.35,3.35,2.5,,,
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Heusden Zolder,Cercle Brugge,2.0,3.4,3.0,2.1,3.5,2.75,2.1,3.4,2.87,2.1,3.3,2.8,2.05,3.45,2.9,,,
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Mouscron,Standard,2.62,3.5,2.2,2.5,3.5,2.25,2.62,3.4,2.25,2.5,3.3,2.2,2.55,3.5,2.25,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Antwerp,Westerlo,1.85,3.4,3.3,2.1,3.5,2.75,2.1,3.25,3.0,2.3,3.1,2.6,2.0,3.2,3.2,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Beveren,St Truiden,2.35,3.4,2.4,2.5,3.4,2.3,2.5,3.3,2.4,2.2,3.1,2.8,2.55,3.2,2.4,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Genk,Charleroi,1.3,4.4,7.0,1.3330000000000002,4.333,7.0,1.36,4.0,7.5,1.4,3.9,6.0,1.33,4.2,7.25,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Gent,Anderlecht,3.5,3.5,1.8,3.5,3.5,1.8,3.5,3.5,1.83,2.9,3.2,2.1,3.35,3.3,1.9,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Louvieroise,Heusden Zolder,1.7,3.5,3.8,1.8,3.5,3.5,1.75,3.6,3.75,1.75,3.3,3.8,1.75,3.4,3.85,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-17,Bergen,Mouscron,2.05,3.45,2.8,2.1,3.5,2.75,2.1,3.4,2.87,2.0,3.2,3.1,2.1,3.2,3.0,,,
Belgium,JupilerLeague,2003-2004,B1,2003-08-17,Cercle Brugge,Club Brugge,8.0,4.5,1.28,7.0,4.0,1.364,8.0,4.2,1.33,8.0,4.2,1.3,7.25,4.2,1.33,,,
