Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Belgium,JupilerLeague,2003-2004,B1,2003-08-08,Club Brugge,Genk,H,1.4,3.75,7.0,,,,,,,1.4,3.8,6.85,1.45,3.8,5.4,,,,1.44,3.75,6.5,,,,,,,,,
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Anderlecht,Antwerp,H,1.167,6.0,10.0,,,,,,,1.2,5.5,9.25,1.3,4.2,8.0,,,,1.2,5.5,10.0,,,,,,,1.22,5.0,9.5
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Charleroi,Lierse,A,2.5,3.5,2.25,,,,,,,2.5,3.35,2.35,2.9,3.2,2.1,,,,2.62,3.4,2.25,,,,,,,2.5,3.4,2.3
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Germinal,Bergen,H,1.909,3.5,3.2,,,,,,,1.85,3.35,3.5,1.9,3.4,3.2,,,,1.9,3.4,3.4,,,,,,,1.9,3.5,3.2
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Lokeren,St Truiden,D,1.727,3.6,3.75,,,,,,,1.8,3.4,3.65,1.9,3.4,3.2,,,,1.72,3.5,4.0,,,,,,,1.66,3.6,4.0
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Westerlo,Louvieroise,D,1.8,3.5,3.5,,,,,,,1.85,3.45,3.5,1.85,3.3,3.4,,,,1.8,3.5,3.6,,,,,,,1.72,3.5,3.8
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Beveren,Gent,A,2.25,3.5,2.5,,,,,,,2.35,3.35,2.5,2.3,3.4,2.3,,,,2.25,3.5,2.6,,,,,,,2.3,3.4,2.5
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Heusden Zolder,Cercle Brugge,D,2.1,3.5,2.75,,,,,,,2.05,3.45,2.9,2.1,3.3,2.8,,,,2.1,3.4,2.87,,,,,,,2.0,3.4,3.0
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Mouscron,Standard,D,2.5,3.5,2.25,,,,,,,2.55,3.5,2.25,2.5,3.3,2.2,,,,2.62,3.4,2.25,,,,,,,2.62,3.5,2.2
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Antwerp,Westerlo,H,2.1,3.5,2.75,,,,,,,2.0,3.2,3.2,2.3,3.1,2.6,,,,2.1,3.25,3.0,,,,,,,1.85,3.4,3.3
