country,file,competition,type
England,E0,Premier,M
England,E1,Championship,M
England,E2,League1,M
England,E3,League2,M
England,EC,Conference,M
Scotland,SC0,Premier,M
Scotland,SC1,Division1,M
Scotland,SC2,Division2,M
Scotland,SC3,Division3,M
Germany,D1,Liga1,M
Germany,D2,Liga2,M
Italy,I1,SerieA,M
Italy,I2,SerieB,M
Spain,SP1,Primera,M
Spain,SP2,Segunda,M
France,F1,LeChampionnat,M
France,F2,Division2,M
Netherlands,N1,Eredivisie,M
Belgium,B1,JupilerLeague,M
Portugal,P1,Liga1,M
Turkey,T1,FutbolLigi1,M
Greece,G1,EthnikiKatigoria,E
Argentina,ARG,Liga,M
Austria,AUT,Liga,E
Brazil,BRA,Liga,E
China,CHN,Liga,E
Denmark,DNK,Liga,E
Finland,FIN,Liga,E
Ireland,IRL,Liga,E
Japan,JPN,Liga,E
Mexico,MEX,Liga,E
Norway,NOR,Liga,E
Poland,POL,Liga,E
Romania,ROU,Liga,E
Russia,RUS,Liga,E
Sweden,SWE,Liga,E
Switzerland,SWZ,Liga,E
USA,USA,Liga,E
