Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-05-08,Nijmegen,Zwolle,1,1,D,2.75,3.3,2.5,,,,2.6,3.3,2.55,,,,2.6,3.2,2.5,2.7,3.4,2.5,,,,2.75,3.6,2.45,2.6,3.3,2.5
Netherlands,Eredivisie,2016-2017,N1,2016-06-08,Den Haag,Go Ahead Eagles,3,0,H,1.7,3.5,5.25,,,,1.65,3.8,4.75,,,,1.7,3.5,4.4,1.7,3.8,4.75,,,,1.73,3.9,4.6,1.73,3.6,4.33
Netherlands,Eredivisie,2016-2017,N1,2016-06-08,Twente,Excelsior,1,2,A,1.67,3.75,5.0,,,,1.65,3.6,5.0,,,,1.75,3.4,4.3,1.67,3.8,4.75,,,,1.7,4.1,4.6,1.75,3.75,4.0
Netherlands,Eredivisie,2016-2017,N1,2016-06-08,Utrecht,PSV Eindhoven,1,2,A,3.6,3.75,1.91,,,,3.6,3.6,1.91,,,,3.7,3.3,1.9,3.6,3.75,1.91,,,,3.7,3.9,1.91,3.75,3.75,1.91
Netherlands,Eredivisie,2016-2017,N1,2016-06-08,Willem II,Vitesse,1,4,A,3.2,3.4,2.2,,,,3.2,3.4,2.1,,,,2.9,3.3,2.2,3.1,3.4,2.25,,,,3.1,3.5,2.25,3.0,3.3,2.2
Netherlands,Eredivisie,2016-2017,N1,2016-07-08,AZ Alkmaar,Heerenveen,2,2,D,1.7,3.6,5.0,,,,1.67,3.7,4.75,,,,1.75,3.6,4.0,1.73,3.8,4.5,,,,1.73,4.1,4.4,1.7,3.8,4.2
Netherlands,Eredivisie,2016-2017,N1,2016-07-08,Groningen,Feyenoord,0,5,A,3.75,3.5,1.95,,,,3.5,3.5,1.95,,,,3.1,3.3,2.1,3.6,3.6,1.95,,,,3.75,3.7,1.95,3.1,3.4,2.1
Netherlands,Eredivisie,2016-2017,N1,2016-07-08,Roda,Heracles,1,1,D,2.3,3.4,3.0,,,,2.4,3.3,2.8,,,,2.3,3.3,2.75,2.25,3.4,3.1,,,,2.3,3.5,3.0,2.38,3.3,2.75
Netherlands,Eredivisie,2016-2017,N1,2016-07-08,Sparta Rotterdam,Ajax,1,3,A,5.5,4.0,1.57,,,,5.25,4.2,1.53,,,,4.6,3.9,1.6,5.0,4.0,1.62,,,,5.25,4.2,1.62,4.8,3.8,1.62
Netherlands,Eredivisie,2016-2017,N1,2016-12-08,Heerenveen,Utrecht,2,2,D,2.63,3.6,2.45,,,,2.65,3.4,2.45,,,,2.55,3.3,2.5,2.7,3.5,2.5,,,,2.7,3.6,2.5,2.6,3.5,2.38
