country,file,competition
England,E0,Premier
England,E1,Championship
England,E2,League1
England,E3,League2
England,EC,Conference
Scotland,SC0,Premier
Scotland,SC1,Division1
Scotland,SC2,Division2
Scotland,SC3,Division3
Germany,D1,Liga1
Germany,D2,Liga2
Italy,I1,SerieA
Italy,I2,SerieB
Spain,SP1,Primera
Spain,SP2,Segunda
France,F1,LeChampionnat
France,F2,Division2
Netherlands,N1,Eredivisie
Belgium,B1,JupilerLeague
Portugal,P1,Liga1
Turkey,T1,FutbolLigi1
Greece,G1,EthnikiKatigoria
Argentina,ARG,Liga
Austria,AUT,Liga
Brazil,BRA,Liga
China,CHN,Liga
Denmark,DNK,Liga
Finland,FIN,Liga
Ireland,IRL,Liga
Japan,JPN,Liga
Mexico,MEX,Liga
Norway,NOR,Liga
Poland,POL,Liga
Romania,ROU,Liga
Russia,RUS,Liga
Sweden,SWE,Liga
Switzerland,SWZ,Liga
USA,USA,Liga
